                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  7.759070958357E+00  1.609927107714E-15 -1.808195665036E-01  6.291224191018E+01  6.706280301251E-02  9.448858309542E-01 -2.022327290049E-01 -3.228222545058E-03 -1.399384745936E+00  1.766293538819E+00 -3.511551123600E-03  1.625092024318E-02 -1.273936911958E-02 -7.120514766875E+00  1.017247404316E-01 -1.778457121737E-03 -1.488278816574E-04  2.190557930453E-05  3.557512471062E+01  1.778457121794E-03 -7.569668705335E-01  5.732148852062E-20  3.550215546701E-22  1.126496236414E-20 -2.985120641287E-02
  4.000000000000E+00  6.000000000000E+00  1.002863309063E+01  4.434240156772E-15 -1.977000262014E-01  1.043027770913E+02  2.721676659855E-01  1.057499097624E+00 -4.621940348556E-01 -2.485223519304E-03 -1.995419073129E+00  6.776825021263E+00  4.580321436001E-01 -3.697818453720E-01 -8.825029823698E-02 -2.313162402357E+00 -6.538552152016E-02  4.172417026591E-04 -2.385920329567E-04 -3.463901009960E-05  5.841918257278E+00 -4.172417026315E-04 -2.609685744684E-02  4.851236749274E-20 -3.793272865140E-21 -1.077843044718E-20 -1.480041330395E-01
  8.000000000000E+00  1.000000000000E+01  1.067957078476E+01  6.704227450971E-15 -1.937170694519E-01  1.171235197903E+02  3.532948586127E-01  1.012883781452E+00 -4.401452548688E-01 -3.056056999569E-03 -2.080583414487E+00  7.194523522884E+00  2.143745261860E-01 -4.846469665605E-01  2.702724403728E-01 -1.052219582696E+00 -4.186818793971E-02  4.020484310810E-04 -1.398703072039E-04  2.819524865835E-06  2.545498689311E+00 -4.020484310600E-04  1.873653916564E-02  6.175245515664E-20 -7.138176406580E-21  5.186337428571E-20 -6.422713927189E-02
  1.200000000000E+01  1.400000000000E+01  1.130154959489E+01  8.295917627623E-15 -1.884271207532E-01  1.307665285038E+02  4.003321244430E-01  1.000600177245E+00 -4.824520008800E-01 -2.621184980003E-03 -2.139438994532E+00  7.118313210700E+00  2.041551267769E-01 -4.470618415516E-01  2.429067147815E-01 -1.024904119054E+00 -5.856822950637E-03  2.283581295905E-04 -8.028681756384E-05  1.444174480248E-05  2.105228426535E+00 -2.283581295224E-04  2.230275938684E-02  6.885878498462E-20 -1.417470414353E-20  8.066645634651E-20 -5.504732591341E-02
  1.600000000000E+01  1.800000000000E+01  1.173230127516E+01  8.678514070576E-15 -1.826132622984E-01  1.405308400490E+02  4.357043233489E-01  9.903759533128E-01 -4.806048840089E-01 -2.863961714970E-03 -2.149873299685E+00  6.714321489347E+00  1.687168379716E-01 -4.042289969905E-01  2.355121590176E-01 -7.190381692935E-01 -5.518269242234E-03  1.829496324106E-04 -4.971191120282E-05  2.248115199807E-05  1.610690319683E+00 -1.829496324125E-04  2.113488355077E-02  2.917706377852E-20 -8.033672735475E-21  1.167337901023E-19 -4.137787591509E-02
  2.000000000000E+01  2.200000000000E+01  1.210687366395E+01  8.037870137996E-15 -1.778639665527E-01  1.493985726394E+02  4.645137335186E-01  9.874736468040E-01 -4.926358596672E-01 -2.888736693351E-03 -2.158960884033E+00  6.450377932706E+00  1.511451536211E-01 -3.708431006718E-01  2.196979470507E-01 -6.154307042100E-01 -5.660572720063E-03  1.082203148955E-04 -3.178793190769E-05  2.275970876347E-05  1.351988061500E+00 -1.082203148421E-04  1.759621672864E-02  7.951088998070E-20 -2.718106869978E-21  1.139756109044E-19 -3.468967243904E-02
  2.400000000000E+01  2.600000000000E+01  1.240819411797E+01  6.754244877514E-15 -1.737764918404E-01  1.567095885310E+02  4.881077110970E-01  9.835827321028E-01 -4.929453253416E-01 -3.031440916608E-03 -2.159371975749E+00  6.152714028203E+00  1.312938348136E-01 -3.394360345597E-01  2.081421997478E-01 -4.953918518525E-01 -4.849719190934E-03  7.239213964028E-05 -1.792185383588E-05  4.234746593866E-06  1.135830146968E+00 -7.239213967653E-05  1.454219361033E-02  8.666542340734E-20 -7.064979344721E-21  1.239837031365E-19 -2.885251871179E-02
  2.800000000000E+01  3.000000000000E+01  1.267477873648E+01  5.515860048803E-15 -1.705830084031E-01  1.633516569867E+02  5.073357994167E-01  9.800293534265E-01 -4.969038378410E-01 -3.151592921389E-03 -2.162526668438E+00  5.917860210219E+00  1.170560050533E-01 -3.139825998270E-01  1.969265947745E-01 -4.314711925781E-01 -4.350457377475E-03  6.769580863424E-05 -7.366744137053E-06 -1.575928444054E-05  9.927459322066E-01 -6.769580856402E-05  1.207750259735E-02  3.701221435382E-20  4.890757928356E-22  1.254202638216E-19 -2.505090333905E-02
  3.200000000000E+01  3.400000000000E+01  1.290467546746E+01  4.474563948531E-15 -1.677585972862E-01  1.691911449365E+02  5.228712230746E-01  9.755524064790E-01 -4.967070067190E-01 -3.214806375520E-03 -2.162978662886E+00  5.692673623490E+00  1.047616423522E-01 -2.916429756850E-01  1.868813333309E-01 -3.709150432330E-01 -3.829073531376E-03  5.164226484749E-05 -2.158019852262E-06 -1.009400860808E-05  8.763109719446E-01 -5.164226492877E-05  9.763520160456E-03  9.101440798933E-20  3.071415788578E-21  1.458514070638E-19 -2.193745418163E-02
