                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  8.818138437243E+00 -4.560209993186E-16 -1.265827594734E-01  8.043495427237E+01  6.210248750754E-02  8.545884679623E-01 -1.872098306922E-01 -2.413725940407E-03 -1.116940974388E+00  1.345291254254E+00 -2.522748259017E-03  1.199289678883E-02 -9.470148530313E-03 -6.149532876087E+00  5.901947324614E-02 -1.492533690691E-03 -1.346911512241E-04  1.821074483154E-05  3.912984853356E+01  1.492533690684E-03 -5.272711966380E-01  7.385985521384E-21  2.599074014151E-21  1.891152643158E-20 -1.904059935166E-02
  4.000000000000E+00  6.000000000000E+00  1.074704216936E+01 -1.056919598138E-15 -1.371067278364E-01  1.187462619095E+02  2.490393877415E-01  8.924596596675E-01 -3.974795342718E-01 -2.163062349576E-03 -1.485098304813E+00  6.321932224603E+00  3.467808339393E-01 -3.162867695587E-01 -3.049406437247E-02 -1.728554299928E+00 -8.510677821191E-02  3.239522062973E-04 -2.127259815846E-04  4.303653916331E-05  5.011275451813E+00 -3.239522063312E-04 -1.444946541633E-02 -9.234983058953E-22 -6.588008402718E-21  5.254415038120E-21 -1.161950049952E-01
  8.000000000000E+00  1.000000000000E+01  1.132333381890E+01 -1.522600332852E-15 -1.337920798000E-01  1.309545685564E+02  3.121091065434E-01  8.406822160365E-01 -3.813093525096E-01 -2.626158164769E-03 -1.528199542782E+00  6.626566722134E+00  1.741196013314E-01 -4.139850560797E-01  2.398654547510E-01 -8.595606572680E-01 -2.893257186249E-02  3.722154550321E-04 -1.211987175725E-04  7.801902456779E-06  2.251642010821E+00 -3.722154550101E-04  1.341553571955E-02 -1.639926707404E-21  2.068564305729E-22  3.076192938082E-20 -5.227145542168E-02
  1.200000000000E+01  1.400000000000E+01  1.187293765089E+01 -2.249355432818E-15 -1.303600038440E-01  1.436848131581E+02  3.477308938404E-01  8.254018186951E-01 -4.150951473199E-01 -2.518778662535E-03 -1.560522723525E+00  6.530540969668E+00  1.671549765433E-01 -3.811022586369E-01  2.139472820968E-01 -8.317536584894E-01 -1.452322941706E-03  1.836824493836E-04 -6.752105629030E-05  5.958853611309E-06  1.869451103258E+00 -1.836824494613E-04  1.418024513122E-02  2.095763285022E-20  6.532618992715E-21  4.136519719371E-20 -4.486152010441E-02
  1.600000000000E+01  1.800000000000E+01  1.225801525489E+01 -1.667163586003E-15 -1.267172704248E-01  1.528596015727E+02  3.751793559015E-01  8.136604882031E-01 -4.135575362684E-01 -2.746611049607E-03 -1.566096618806E+00  6.153607041083E+00  1.376544518359E-01 -3.416348657161E-01  2.039804138789E-01 -5.900316401984E-01 -5.905746492143E-04  1.099108888963E-04 -3.947333222914E-05  1.764992138163E-05  1.446778947167E+00 -1.099108888672E-04  1.309822083192E-02  3.808511351632E-20 -2.556193326104E-21  5.153077527425E-20 -3.411395206032E-02
  2.000000000000E+01  2.200000000000E+01  1.259632281099E+01  5.978251747807E-16 -1.238585931946E-01  1.612269992323E+02  3.976330992624E-01  8.091775002892E-01 -4.231365136195E-01 -2.756255425324E-03 -1.573019688210E+00  5.908013446626E+00  1.235851923587E-01 -3.124405114981E-01  1.888553191394E-01 -5.100156630619E-01 -1.833569109280E-03  1.105892207767E-04 -2.540534224257E-05  1.604286009328E-05  1.226056957259E+00 -1.105892208073E-04  1.134111321061E-02  4.521546349213E-20  6.008670943666E-21  7.322125194556E-20 -2.888230247812E-02
  2.400000000000E+01  2.600000000000E+01  1.287107364270E+01  2.940080759869E-15 -1.210886244716E-01  1.681727917875E+02  4.160707961038E-01  8.046117924582E-01 -4.235859712955E-01 -2.900270196417E-03 -1.571153681547E+00  5.638303785632E+00  1.076759826688E-01 -2.858235692040E-01  1.781475865370E-01 -4.141251063135E-01 -1.829589666017E-03  7.087477699247E-05 -1.722657169640E-05  1.521994455602E-05  1.036209045682E+00 -7.087477694560E-05  9.704735971146E-03 -3.842164210677E-21  8.966289337290E-22  8.332412674020E-20 -2.417337003902E-02
  2.800000000000E+01  3.000000000000E+01  1.311443224185E+01  5.460732343740E-15 -1.189367896994E-01  1.744686519811E+02  4.310765703433E-01  8.007251653460E-01 -4.266866455895E-01 -2.985177412810E-03 -1.572288030581E+00  5.421662612570E+00  9.625274983085E-02 -2.639767062030E-01  1.677239563745E-01 -3.623280170354E-01 -1.965851453306E-03  7.451627410249E-05 -1.000309956711E-05  4.096854340386E-06  9.093482779185E-01 -7.451627416624E-05  7.999738412109E-03  1.270576759335E-20  2.349042304954E-21  1.229229842836E-19 -2.110580286373E-02
  3.200000000000E+01  3.400000000000E+01  1.332578193289E+01  8.714436579756E-15 -1.170335560912E-01  1.800304977005E+02  4.430790994845E-01  7.953381971920E-01 -4.267695237314E-01 -3.101173734157E-03 -1.572049895597E+00  5.214294339570E+00  8.648050624715E-02 -2.447348857193E-01  1.582543794720E-01 -3.137889390500E-01 -1.889521239702E-03  4.352816805782E-05 -4.571422365434E-06  6.689847593179E-06  8.054353276770E-01 -4.352816794776E-05  7.407103582624E-03  3.293483965498E-20 -1.054844502953E-20  1.056310248128E-19 -1.856568745475E-02
