                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  6.765061699142E+00 -7.834619093529E-16 -2.546401620323E-02  4.701820315491E+01  2.417744572520E-02  3.242385861283E-01 -7.095084486111E-02 -4.454306349506E-04 -1.784984783573E-01  6.893707528153E-01 -6.152726039798E-04  2.355416833127E-03 -1.740144228968E-03 -2.380249631623E+00  7.615918857368E-03 -6.453940051092E-04 -5.813297297439E-05  1.349099952639E-05  2.900500934312E+01  6.453940050943E-04 -1.035702687564E-01 -2.793614206973E-20  1.194993256490E-21  4.973902482279E-21 -4.922873254120E-03
  4.000000000000E+00  6.000000000000E+00  7.737437360075E+00 -2.100383813634E-15 -2.634774495650E-02  6.107946097224E+01  9.598819475215E-02  3.166618721454E-01 -1.360926062791E-01 -5.263224178907E-04 -2.148240317572E-01  3.690195583634E+00  9.688147824562E-02 -1.096092707883E-01  1.272779254267E-02 -4.827554222573E-01 -3.893947312843E-02  1.873429042410E-04 -8.967671387471E-05 -2.321333671919E-05  2.609014791063E+00 -1.873429042580E-04  1.409517350234E-03 -1.858847831714E-20 -2.898074522126E-21  4.947278276204E-23 -3.444191348940E-02
  8.000000000000E+00  1.000000000000E+01  8.069422009018E+00 -2.714441085100E-15 -2.475074514170E-02  6.616485244016E+01  1.152778433368E-01  2.943934892384E-01 -1.335610563614E-01 -5.599257404474E-04 -2.115251873609E-01  3.864902334092E+00  5.699314358262E-02 -1.426794166098E-01  8.568627302725E-02 -2.897838261571E-01 -7.706333060239E-03  1.307133841661E-04 -5.000093129223E-05 -5.239307714808E-06  1.271504978581E+00 -1.307133841798E-04  7.327667012514E-03 -2.011237317296E-20 -1.122542916223E-20  2.613605603643E-20 -1.730864217875E-02
  1.200000000000E+01  1.400000000000E+01  8.373253300869E+00 -2.629419468617E-15 -2.266197077304E-02  7.114125523070E+01  1.258998277664E-01  2.884952516065E-01 -1.434041394192E-01 -5.141472328692E-04 -2.019018586176E-01  3.800905638796E+00  5.348100388766E-02 -1.315943479859E-01  7.811334409846E-02 -2.680196819393E-01 -1.252391242576E-03  9.095623609520E-05 -2.852807781228E-05  9.979801342887E-06  1.044200535596E+00 -9.095623611517E-05  8.663920835982E-03 -4.807366447326E-20  4.397749976308E-21  2.185684029783E-20 -1.460920960209E-02
  1.600000000000E+01  1.800000000000E+01  8.591581906420E+00 -2.203889270154E-15 -2.038900280445E-02  7.480441652495E+01  1.347421265633E-01  2.840657887706E-01 -1.433384978919E-01 -5.356144129028E-04 -1.878475336054E-01  3.586410677884E+00  4.452072470320E-02 -1.175405517734E-01  7.301982707218E-02 -1.955935338294E-01 -8.428706492564E-04  5.878877620174E-05 -1.621416376422E-05  1.205680365361E-05  8.171773849419E-01 -5.878877618846E-05  8.006057524670E-03 -1.568734946090E-20  9.826412422999E-22  3.847308430111E-20 -1.128816303087E-02
  2.000000000000E+01  2.200000000000E+01  8.781864783327E+00 -1.783700212995E-15 -1.865472979498E-02  7.809234024411E+01  1.424077325913E-01  2.828791509897E-01 -1.462923608439E-01 -5.497270585545E-04 -1.772056903607E-01  3.439911894790E+00  3.955415396377E-02 -1.070691529260E-01  6.751499896127E-02 -1.683258039950E-01 -1.131437214920E-03  2.821106127065E-05 -9.295501767790E-06  6.909076491489E-07  6.925902360816E-01 -2.821106131731E-05  6.186324882410E-03 -3.310872403754E-20 -4.703480675137E-21  4.457908800834E-20 -9.572144822536E-03
  2.400000000000E+01  2.600000000000E+01  8.937876590322E+00 -1.431524350737E-15 -1.727525660534E-02  8.083708494212E+01  1.489560096943E-01  2.820109765284E-01 -1.465289065327E-01 -5.574211854052E-04 -1.684691082469E-01  3.285072306495E+00  3.442749616029E-02 -9.773941764570E-02  6.331192148615E-02 -1.381723706506E-01 -1.024758218222E-03  3.338040568986E-05 -4.800539386751E-06 -8.073691000522E-06  5.891638921198E-01 -3.338040567435E-05  4.700429133522E-03 -1.653939259980E-20  2.087363322418E-21  5.941943037025E-20 -8.076910586504E-03
  2.800000000000E+01  3.000000000000E+01  9.076476628589E+00 -9.550845719043E-16 -1.630143569938E-02  8.332254704733E+01  1.544175535148E-01  2.817794025342E-01 -1.476192203244E-01 -5.832893807700E-04 -1.626081885325E-01  3.161747438942E+00  3.078064350492E-02 -9.039739757201E-02  5.961675406718E-02 -1.212806256127E-01 -8.077967388306E-04  2.185068981905E-05 -2.266896030493E-06 -1.376850809193E-06  5.174662474284E-01 -2.185068979960E-05  3.651007905360E-03  1.512044109394E-20 -3.885955667744E-21  7.009434829910E-20 -7.070175499854E-03
  3.200000000000E+01  3.400000000000E+01  9.196611613501E+00 -4.385141338589E-16 -1.549691997576E-02  8.550759665295E+01  1.588912021932E-01  2.814244984947E-01 -1.476745130715E-01 -5.660542147863E-04 -1.578057344175E-01  3.047005720800E+00  2.772345713838E-02 -8.417775062261E-02  5.645429348522E-02 -1.052767828549E-01 -7.226595566573E-04  1.182885786128E-05 -4.859296494762E-07 -2.244462705413E-06  4.592216023593E-01 -1.182885786297E-05  3.418597905932E-03  2.848990874078E-20 -3.624359807549E-21  5.809053352779E-20 -6.244019544919E-03
