                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  7.715732535825E+00  2.582794998562E-17 -2.917588370482E-02  6.042079048779E+01  1.532970893543E-02  2.080589524741E-01 -4.417116005086E-02 -2.202776537240E-04 -2.226408776556E-01  3.583427103407E-01  1.465595734815E-05  7.417652560488E-04 -7.564212134245E-04 -1.401944294742E+00  3.796031066424E-03 -1.055386342525E-05  6.748872995024E-07 -1.966541543153E-06  3.212405752372E+01  1.055386342657E-05 -1.265771033049E-01  1.826114750357E-20 -2.353991119015E-21 -4.987995235389E-21 -1.650615141641E-03
  4.000000000000E+00  6.000000000000E+00  8.346274332052E+00  7.036938306365E-17 -3.411428153597E-02  7.041037512391E+01  6.120686532844E-02  1.823075630367E-01 -8.046804156469E-02 -1.123590564153E-04 -2.831528669223E-01  2.715322087974E+00  4.437598811265E-02 -6.210910476797E-02  1.773311665589E-02 -2.179917958343E-01 -2.304248478760E-02  1.066904935930E-06  1.908541390678E-06  7.313994836859E-07  1.708187447025E+00 -1.066904934468E-06 -1.068927027874E-02  1.420547734633E-20 -3.320605174188E-21  6.005983040183E-21 -1.657366140817E-02
  8.000000000000E+00  1.000000000000E+01  8.569821759350E+00  1.191986414810E-16 -3.453144746599E-02  7.409582656345E+01  7.186418505862E-02  1.641165243607E-01 -7.960282247393E-02 -2.018593551906E-04 -2.946809076843E-01  2.853128425222E+00  2.928409067002E-02 -7.989099272717E-02  5.060690205745E-02 -1.473468049294E-01 -1.131779499533E-03  1.833616385534E-07  2.599150359527E-06  3.386584235059E-06  8.571659565362E-01 -1.833616388250E-07 -2.004897313975E-03  2.923258500819E-20 -8.698428119137E-21  4.255038473240E-21 -8.852274222219E-03
  1.200000000000E+01  1.400000000000E+01  8.774868024835E+00  1.685082511533E-16 -3.509608268238E-02  7.763488863691E+01  7.710916883478E-02  1.590845649402E-01 -8.453795744548E-02 -1.565715205002E-04 -3.069319894207E-01  2.810190274547E+00  2.706768683217E-02 -7.390427337237E-02  4.683658654031E-02 -1.354940726784E-01  1.670468259536E-03  7.648206188770E-06  3.256523981822E-06  3.567398977988E-06  7.118414586117E-01 -7.648206184835E-06 -2.234271001734E-03  2.762473932751E-20 -4.213031512991E-22  1.149727979671E-20 -7.486078496555E-03
  1.600000000000E+01  1.800000000000E+01  8.925747197633E+00  1.403606867597E-16 -3.563673555704E-02  8.028344262880E+01  8.141924146250E-02  1.552932058659E-01 -8.445939570299E-02 -1.716096899671E-04 -3.169300838085E-01  2.654360761360E+00  2.242594343588E-02 -6.550452116840E-02  4.307857773237E-02 -1.019826123100E-01  1.432055786063E-03 -1.007835003443E-06  3.877391415111E-06  2.113317435284E-06  5.691279768950E-01  1.007835003045E-06 -2.814675705667E-03  1.012237831110E-20 -5.328644004731E-21  2.710067091340E-20 -5.945503283986E-03
  2.000000000000E+01  2.200000000000E+01  9.059436350206E+00  3.984505325509E-17 -3.650355764567E-02  8.267792060097E+01  8.524345776658E-02  1.536501954823E-01 -8.601787079381E-02 -1.393818423538E-04 -3.294133458679E-01  2.544709726833E+00  1.999824109825E-02 -5.945714086800E-02  3.945889976935E-02 -8.938228931508E-02  1.023108845614E-03 -3.257979255078E-07  4.027552999249E-06 -2.648487871952E-06  4.885116415478E-01  3.257979274229E-07 -3.017572690894E-03  3.244546794091E-20 -3.539347122253E-23  4.034820428229E-20 -5.114480834201E-03
  2.400000000000E+01  2.600000000000E+01  9.169996925470E+00 -6.637780241546E-17 -3.714894698393E-02  8.468356073212E+01  8.858141050982E-02  1.523411636167E-01 -8.616494756963E-02 -1.196232499311E-04 -3.390715324842E-01  2.434124031859E+00  1.748522647373E-02 -5.437336777840E-02  3.688814130435E-02 -7.430085161901E-02  5.900111678631E-04  1.213611960030E-06  4.451733313967E-06 -3.039841754944E-06  4.195286211649E-01 -1.213611962048E-06 -1.462304625451E-03  2.332176455156E-20 -3.165853317246E-21  3.320167876134E-20 -4.370144814323E-03
  2.800000000000E+01  3.000000000000E+01  9.269212613801E+00 -1.990640183074E-16 -3.724128611587E-02  8.650721855851E+01  9.142040413790E-02  1.515767701360E-01 -8.680058552121E-02 -1.095642202204E-04 -3.435492436018E-01  2.345384959108E+00  1.565036739305E-02 -5.035378066401E-02  3.470341327099E-02 -6.598134585072E-02  1.443136150492E-04  2.585815841764E-07  4.330679870266E-06 -1.537675328815E-06  3.730216600360E-01 -2.585815802825E-07 -4.582646233855E-05  2.226034030097E-20  3.195845512178E-21  3.017274422526E-20 -3.868630544182E-03
  3.200000000000E+01  3.400000000000E+01  9.356525515127E+00 -3.775568363449E-16 -3.717742121518E-02  8.812834257548E+01  9.381112467890E-02  1.509348072501E-01 -8.689107590070E-02 -8.708413743432E-05 -3.460179514005E-01  2.264145814547E+00  1.399203144134E-02 -4.701660208308E-02  3.302457064124E-02 -5.798686280152E-02 -3.936955179871E-05  2.195314398879E-06  3.462549193075E-06  3.060810359063E-06  3.344980858863E-01 -2.195314405175E-06  3.212061420181E-04  1.598244037127E-20 -2.447960232317E-21  4.806366696436E-20 -3.449453868953E-03
