                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  1.501110818172E+01  1.495525853041E-15 -5.475062338964E-02  2.295521192908E+02  8.376904877629E-02  1.149131937454E+00 -2.451919948937E-01 -2.090971175149E-03 -8.265128414806E-01  9.224168170579E-01 -1.700780778290E-03  6.642954279679E-03 -4.942173501319E-03 -7.062832215840E+00  2.142874404022E-02 -7.877474289217E-04 -6.950829895362E-05  1.102313903183E-05  6.330054784157E+01  7.877474289521E-04 -2.109146751112E-01  1.233262634454E-19  4.616181537261E-21  1.141314228320E-19 -1.083543267986E-02
  4.000000000000E+00  6.000000000000E+00  1.663943190510E+01  4.202586701673E-15 -5.070516874250E-02  2.807050039180E+02  3.329764106120E-01  1.057560221199E+00 -4.584551250149E-01 -3.292702878798E-03 -8.407517652184E-01  6.611753156560E+00  2.798475646594E-01 -3.543656331747E-01  7.451806851435E-02 -1.387739546263E+00 -1.444444125322E-01  2.189187947236E-04 -1.105870590763E-04 -3.998635443740E-06  4.368813523590E+00 -2.189187947088E-04  1.769222263661E-02  7.357285891065E-20  2.706680683692E-21  1.689493440907E-19 -1.030860072339E-01
  8.000000000000E+00  1.000000000000E+01  1.719523341444E+01  5.185501026691E-15 -4.587020671957E-02  2.989741400734E+02  3.935259717955E-01  9.639617347611E-01 -4.484186368914E-01 -3.286907460944E-03 -7.863417458900E-01  6.905521664516E+00  1.752267398673E-01 -4.614639549768E-01  2.862372151110E-01 -8.742674540555E-01 -1.657105202251E-02  1.772925151165E-04 -6.371659766444E-05 -3.504169056338E-08  2.147301880830E+00 -1.772925150441E-04  1.926195050756E-02  8.280184773122E-20  6.129700757773E-21  1.238741794192E-19 -5.290461851422E-02
  1.200000000000E+01  1.400000000000E+01  1.771300892264E+01  3.879878905586E-15 -4.107312097688E-02  3.169758017960E+02  4.241041085603E-01  9.370555808745E-01 -4.784241129463E-01 -3.277761689739E-03 -7.257127456778E-01  6.793854732886E+00  1.652284750453E-01 -4.253839937075E-01  2.601555186608E-01 -8.202307125994E-01  1.522590569916E-03  9.245091768336E-05 -3.597639033456E-05  3.007467893023E-06  1.787759103234E+00 -9.245091769706E-05  1.924289607086E-02  6.076520771551E-20 -1.003515548997E-20  9.766602167800E-20 -4.503926186849E-02
  1.600000000000E+01  1.800000000000E+01  1.808913142832E+01  2.611179989679E-15 -3.624491874892E-02  3.303162687425E+02  4.487283002326E-01  9.161648251707E-01 -4.766788973069E-01 -3.385168020049E-03 -6.540820154333E-01  6.398688659661E+00  1.376049757673E-01 -3.768805848154E-01  2.392756090436E-01 -6.070276499064E-01  1.026668991354E-03  6.018226502047E-05 -2.225292467442E-05  4.863421778738E-06  1.418595276023E+00 -6.018226503302E-05  1.906143427522E-02  5.561048233959E-20 -2.575815172140E-20  1.277552165443E-19 -3.535452498140E-02
  2.000000000000E+01  2.200000000000E+01  1.842229729103E+01  2.967935034022E-15 -3.154353910573E-02  3.424259938412E+02  4.695743279504E-01  9.058256367576E-01 -4.852744522342E-01 -3.425769283738E-03 -5.798196472901E-01  6.128639246845E+00  1.224902759335E-01 -3.417991087786E-01  2.193088328491E-01 -5.308413952465E-01 -1.948408015952E-03  5.345039070206E-05 -1.497438478588E-05 -4.838997584245E-06  1.217476683648E+00 -5.345039059536E-05  1.732003336095E-02  9.961318142259E-21 -2.017691676735E-20  8.832363376428E-20 -3.032696274235E-02
  2.400000000000E+01  2.600000000000E+01  1.869787869257E+01  3.913359384898E-15 -2.758622118076E-02  3.525986483291E+02  4.868816169294E-01  8.966686645948E-01 -4.852912687195E-01 -3.519236764994E-03 -5.161753158159E-01  5.851998459298E+00  1.068906102543E-01 -3.117184512744E-01  2.048278410208E-01 -4.396463295316E-01 -2.189354535197E-03  2.646403344710E-05 -1.096775535897E-05 -1.359308270732E-06  1.044785091013E+00 -2.646403344054E-05  1.523864175880E-02  2.280483890309E-20 -1.911914444984E-20  1.010374944403E-19 -2.582931475104E-02
  2.800000000000E+01  3.000000000000E+01  1.894471576662E+01  4.350044196383E-15 -2.394128832022E-02  3.618580742374E+02  5.007468063685E-01  8.905598444969E-01 -4.880165914297E-01 -3.594532734596E-03 -4.554943039684E-01  5.631512116797E+00  9.602441931373E-02 -2.883354803722E-01  1.923110610589E-01 -3.890640191363E-01 -2.967850825896E-03  1.937134781139E-05 -9.227835206898E-06  5.352232802215E-06  9.274643775974E-01 -1.937134795673E-05  1.386265855491E-02 -4.468294292666E-21 -1.952450734687E-20  6.463091155492E-20 -2.278055173524E-02
  3.200000000000E+01  3.400000000000E+01  1.916159939397E+01  4.864851793976E-15 -2.066785700809E-02  3.700929326688E+02  5.116367053867E-01  8.829792472710E-01 -4.878021690762E-01 -3.721670931106E-03 -3.995494767914E-01  5.422800921531E+00  8.638655413429E-02 -2.681293660586E-01  1.817428119223E-01 -3.402496454100E-01 -2.611166617782E-03  2.136063806507E-05 -7.745134263360E-06  4.428427902839E-06  8.302784269288E-01 -2.136063795201E-05  1.102254434070E-02 -7.223817881615E-21 -1.998056611383E-20  8.854622560852E-20 -2.020224066570E-02
