                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  1.149467863361E+01 -2.348949449301E-15 -2.617889058838E-01  1.368923483391E+02  1.157989921818E-01  1.658036511453E+00 -3.463975999126E-01 -5.431259514157E-03 -3.024770426938E+00  1.805278255194E+00 -3.788663505119E-03  2.289206161144E-02 -1.910339810535E-02 -1.079218347899E+01  1.511446556534E-01 -1.673623388669E-03 -1.675192039372E-04  6.967395703460E-05  5.130006741654E+01  1.673623388639E-03 -1.123495851237E+00  1.404608399798E-21  7.096620977190E-21  1.280916029872E-19 -3.531256464066E-02
  4.000000000000E+00  6.000000000000E+00  1.415571060893E+01 -6.093344578906E-15 -3.000795508919E-01  2.062837257131E+02  4.648238290486E-01  1.741054149627E+00 -7.438245187618E-01 -2.390585391418E-03 -4.309090071577E+00  8.630316020901E+00  6.551896549460E-01 -5.909516230265E-01 -6.423803192134E-02 -3.254290580571E+00 -1.297009190592E-01  3.612621837144E-04 -2.706176239741E-04  2.618367204502E-05  6.880364139190E+00 -3.612621837878E-04 -7.599423310496E-02 -2.138592550029E-20 -2.732678120637E-21  1.636886874210E-19 -2.183530698711E-01
  8.000000000000E+00  1.000000000000E+01  1.493420132113E+01 -7.412403011988E-15 -2.997973946566E-01  2.279817401834E+02  5.840416298134E-01  1.638737563777E+00 -7.111633747726E-01 -3.538023665686E-03 -4.540105100926E+00  9.061394227397E+00  3.255295311573E-01 -7.756723817744E-01  4.501428506187E-01 -1.587791076969E+00 -4.933479398293E-02  3.120104087485E-04 -1.586720667016E-04  1.048002476039E-05  3.054253253043E+00 -3.120104087747E-04  6.331844618362E-03 -5.968185832813E-20  1.059890668952E-20  6.808387191130E-20 -9.689450889523E-02
  1.200000000000E+01  1.400000000000E+01  1.568285067318E+01 -6.619873052505E-15 -2.968086722482E-01  2.508694225646E+02  6.516003841669E-01  1.607501486020E+00 -7.747748098319E-01 -2.394094305733E-03 -4.717857879965E+00  8.930332252666E+00  3.124471604984E-01 -7.122809418218E-01  3.998337813247E-01 -1.546885686767E+00  6.334981357724E-04  2.238050043042E-04 -8.834435162073E-05 -3.086783444210E-05  2.543076278391E+00 -2.238050044087E-04  1.898136083435E-02 -7.846688568124E-20 -1.495673841061E-20  5.863506086763E-20 -8.340820024901E-02
  1.600000000000E+01  1.800000000000E+01  1.620582832198E+01 -3.954398296082E-15 -2.902580978669E-01  2.673245345741E+02  7.039992395647E-01  1.583392856429E+00 -7.712001642562E-01 -2.645126961609E-03 -4.763834587619E+00  8.408613148888E+00  2.568653437103E-01 -6.377747346457E-01  3.809093909332E-01 -1.094392583588E+00 -4.200597557314E-03  2.167028526110E-04 -5.196291689153E-05 -6.945033270616E-06  1.964152058170E+00 -2.167028525428E-04  2.383257936945E-02 -8.384113268265E-20 -1.071325826237E-20  2.215595947913E-21 -6.329541919337E-02
  2.000000000000E+01  2.200000000000E+01  1.666500943446E+01 -4.058499774677E-16 -2.848587191401E-01  2.823357179322E+02  7.472806194456E-01  1.572134434015E+00 -7.889054684510E-01 -2.455662373854E-03 -4.804228079437E+00  8.074555335962E+00  2.301185403230E-01 -5.833891626599E-01  3.532706223363E-01 -9.467220065909E-01 -6.196021878500E-03  1.099630231008E-04 -3.173957128022E-05 -7.136221579087E-06  1.662450718965E+00 -1.099630232826E-04  2.137972099939E-02 -8.474154850637E-20 -2.577685483387E-20 -2.678847355967E-20 -5.358669915035E-02
  2.400000000000E+01  2.600000000000E+01  1.703716681816E+01  2.528832684344E-15 -2.795488258101E-01  2.947726035386E+02  7.829110719906E-01  1.561187458575E+00 -7.889925552412E-01 -2.610086513670E-03 -4.816892742665E+00  7.708384294321E+00  2.007140298440E-01 -5.340709489787E-01  3.333569191354E-01 -7.679418640665E-01 -6.675304640659E-03  6.382440631541E-05 -2.246990699260E-05  1.179698252479E-05  1.405579641148E+00 -6.382440623518E-05  1.982532587010E-02 -1.129877915623E-19 -1.247620133342E-20 -1.449463925495E-20 -4.489177428733E-02
  2.800000000000E+01  3.000000000000E+01  1.736781933955E+01  6.235124395959E-15 -2.749897402040E-01  3.060874201173E+02  8.116098946338E-01  1.552817623421E+00 -7.945030041219E-01 -2.644435421774E-03 -4.827353728154E+00  7.418719561567E+00  1.798470348195E-01 -4.946133898669E-01  3.147663550489E-01 -6.734177229665E-01 -6.741813399028E-03  6.485485798701E-05 -1.705688997116E-05  1.433634870117E-05  1.235340115276E+00 -6.485485792593E-05  1.672235193184E-02 -1.338840721270E-19 -3.013624946844E-20 -1.514988176214E-20 -3.923371850731E-02
  3.200000000000E+01  3.400000000000E+01  1.765479803302E+01  1.097167896900E-14 -2.711690067279E-01  3.160801608295E+02  8.344137630238E-01  1.543582071596E+00 -7.940902717778E-01 -2.752433606885E-03 -4.835266252935E+00  7.139642093300E+00  1.613128590635E-01 -4.589170232625E-01  2.976041642002E-01 -5.829170758207E-01 -5.910071406094E-03  6.545028098393E-05 -1.133469872845E-05 -3.984838809316E-06  1.095495583716E+00 -6.545028093192E-05  1.420860474899E-02 -6.926080438402E-20 -2.757713978376E-20 -4.952994388071E-20 -3.454299797778E-02
  3.600000000000E+01  3.800000000000E+01  1.791555863781E+01  1.305506299853E-14 -2.678810254681E-01  3.253164203341E+02  8.523872676526E-01  1.535868496169E+00 -7.951872380103E-01 -2.748791796702E-03 -4.843386606597E+00  6.903926053966E+00  1.465635839352E-01 -4.293761653224E-01  2.828125813897E-01 -5.247780086983E-01 -5.770948658449E-03  2.937039673783E-05 -6.724222566771E-06  9.464125081501E-06  9.920582218332E-01 -2.937039681758E-05  1.297145745122E-02 -8.891540614818E-20 -2.100057427308E-20 -4.524502300661E-20 -3.109938326215E-02
  4.000000000000E+01  4.200000000000E+01  1.815085859222E+01  1.347101784866E-14 -2.647031959988E-01  3.337702316326E+02  8.663655224713E-01  1.527989266908E+00 -7.940037872742E-01 -2.758662143604E-03 -4.845979931280E+00  6.683568244944E+00  1.337873525482E-01 -4.034231204376E-01  2.696357678892E-01 -4.713543210978E-01 -5.875004197516E-03  2.613033497577E-05 -4.342916212000E-06  1.496922237055E-05  9.054489919084E-01 -2.613033505011E-05  1.196060359737E-02 -1.115237017047E-19 -2.882230292764E-20 -4.693174526397E-20 -2.818001306315E-02
  4.400000000000E+01  4.600000000000E+01  1.836835537532E+01  1.435550217472E-14 -2.619038839386E-01  3.416867260893E+02  8.770585568619E-01  1.520241886115E+00 -7.932409402260E-01 -2.814803945433E-03 -4.849525938418E+00  6.495243390612E+00  1.235107455028E-01 -3.815565999259E-01  2.580458544246E-01 -4.313146083118E-01 -5.377871167877E-03  3.883255096980E-05 -5.002952179991E-06 -1.273380347440E-05  8.374379037497E-01 -3.883255106044E-05  9.668551550331E-03 -1.120520602086E-19 -3.156760225642E-21 -5.528805694195E-20 -2.587687656664E-02
  4.800000000000E+01  5.000000000000E+01  1.856958632343E+01  1.787742060870E-14 -2.598956482710E-01  3.490963222873E+02  8.851263564463E-01  1.511405761571E+00 -7.913506417320E-01 -2.822932153407E-03 -4.862582765466E+00  6.317663130517E+00  1.144910875106E-01 -3.612152601038E-01  2.467241725920E-01 -3.973433189532E-01 -4.190500471876E-03 -1.404339203395E-06 -5.994616986642E-06 -1.593855326166E-05  7.793104718220E-01  1.404339258399E-06  7.176148113573E-03 -6.945943253795E-20 -3.943436300085E-20 -2.459797459707E-20 -2.391415073723E-02
  5.200000000000E+01  5.400000000000E+01  1.875796510502E+01  2.615409465968E-14 -2.583379740314E-01  3.561100301305E+02  8.911057224598E-01  1.501423484589E+00 -7.896342614298E-01 -2.860591855652E-03 -4.879579172547E+00  6.150740011288E+00  1.061218616006E-01 -3.430306935783E-01  2.369088319778E-01 -3.685503336993E-01 -3.492454236305E-03  6.346857133040E-06 -5.517299374857E-06 -8.881656748280E-06  7.300923522062E-01 -6.346857201490E-06  6.047169850293E-03 -1.171068030285E-19 -2.129809485350E-20  4.748440304203E-21 -2.222510073143E-02
  5.600000000000E+01  5.800000000000E+01  1.893462962752E+01  3.447386206073E-14 -2.568747128182E-01  3.627521864279E+02  8.954323290043E-01  1.491272252835E+00 -7.874612977229E-01 -2.818299158187E-03 -4.896090046577E+00  5.998996371269E+00  9.897157866682E-02 -3.269744412471E-01  2.280028625810E-01 -3.428918343328E-01 -3.179321871043E-03  2.914852311004E-05 -5.669413925879E-06 -1.189753568221E-05  6.874061908454E-01 -2.914852307312E-05  5.888311239656E-03 -1.209397719175E-19 -1.351634532484E-20 -1.606085363048E-20 -2.072825541886E-02
