                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  1.096602731563E+01 -5.588450709137E-16 -2.128466160818E-01  1.253098075969E+02  1.205986839154E-01  1.677688381585E+00 -3.618624029949E-01 -5.420742851551E-03 -2.331216137470E+00  2.042802661632E+00 -4.323262139553E-03  2.720131578316E-02 -2.287805364463E-02 -1.170936988640E+01  1.473267715391E-01 -1.957433064407E-03 -1.861202561060E-04  1.009310361969E-04  4.956902460397E+01  1.957433064438E-03 -8.889887862032E-01  3.388770981550E-19 -1.124929198233E-21  1.372392205025E-19 -4.303483183846E-02
  4.000000000000E+00  6.000000000000E+00  1.381877566037E+01 -1.230172792336E-15 -2.316411093518E-01  1.974995803312E+02  4.847089774214E-01  1.813334495307E+00 -7.949338282461E-01 -4.516981963777E-03 -3.208146285042E+00  8.911291389615E+00  7.415767593253E-01 -6.315661689221E-01 -1.100105904063E-01 -3.694515979387E+00 -1.428458749864E-01  3.699232984726E-04 -3.020522480144E-04  1.879141284890E-05  7.368928696223E+00 -3.699232985078E-04 -2.850485317797E-02  4.107243271270E-19  5.764413033743E-21  2.237134094231E-19 -2.437408310322E-01
  8.000000000000E+00  1.000000000000E+01  1.464997073121E+01 -2.679745892779E-16 -2.270833811061E-01  2.201756534715E+02  6.151473407455E-01  1.716120489527E+00 -7.601990944552E-01 -5.423300151394E-03 -3.326066456632E+00  9.409609556630E+00  3.599423043403E-01 -8.313571044262E-01  4.714148000834E-01 -1.760781264309E+00 -6.683646350967E-02  4.178440295562E-04 -1.811508676689E-04 -6.986760861606E-06  3.256446422053E+00 -4.178440295549E-04  2.183286737165E-02  4.080274960610E-19 -1.791410969528E-20  1.540059658903E-19 -1.073989883453E-01
  1.200000000000E+01  1.400000000000E+01  1.544688737717E+01  1.985444794683E-15 -2.208023037463E-01  2.441656107903E+02  6.890388725477E-01  1.686627264050E+00 -8.292149700284E-01 -4.631760899648E-03 -3.401640643421E+00  9.283473549965E+00  3.438603208609E-01 -7.638980332167E-01  4.200377123482E-01 -1.713694073869E+00 -8.613662499708E-03  2.741918792325E-04 -1.010713190387E-04 -3.928571206728E-05  2.707635406682E+00 -2.741918792584E-04  2.731824150270E-02  4.405362527081E-19 -2.482509226870E-20  1.177540023875E-19 -9.232546223836E-02
  1.600000000000E+01  1.800000000000E+01  1.600382963859E+01  4.704737033984E-15 -2.134086366164E-01  2.614694793827E+02  7.453933623400E-01  1.663275353113E+00 -8.265504726337E-01 -5.046318318949E-03 -3.399765968185E+00  8.743989377759E+00  2.845624046209E-01 -6.879576125276E-01  4.033952079018E-01 -1.211627175195E+00 -7.247208125810E-03  1.982760457229E-04 -5.751353187499E-05 -2.469222615204E-06  2.083614920099E+00 -1.982760456621E-04  2.448721375958E-02  4.084464198418E-19 -3.179984621413E-20  7.423084107605E-20 -6.978979219276E-02
  2.000000000000E+01  2.200000000000E+01  1.648892017964E+01  7.004317734901E-15 -2.085086408940E-01  2.771626421267E+02  7.913737485538E-01  1.655516157252E+00 -8.458415138574E-01 -5.076679705226E-03 -3.416027653081E+00  8.391497105182E+00  2.539617297704E-01 -6.290666406541E-01  3.751049108829E-01 -1.038556122094E+00 -6.806718830337E-03  1.420235879100E-04 -3.856285734820E-05  2.029178186137E-05  1.754958421275E+00 -1.420235880337E-04  1.746049023434E-02  3.466197455080E-19 -2.367034125887E-20  6.083559299301E-20 -5.868649952092E-02
  2.400000000000E+01  2.600000000000E+01  1.688137857365E+01  8.105192949096E-15 -2.046529117892E-01  2.901684846341E+02  8.289590722784E-01  1.646654626960E+00 -8.465898016215E-01 -5.371864471184E-03 -3.427526180263E+00  8.004402763686E+00  2.206520946470E-01 -5.750768834534E-01  3.544247888062E-01 -8.393582408695E-01 -5.035673460766E-03  8.844515026606E-05 -3.005880815206E-05 -5.204061382757E-08  1.477944831857E+00 -8.844515021721E-05  1.322832019867E-02  3.328251127512E-19 -2.772518787599E-20  4.864745003772E-20 -4.887743546429E-02
  2.800000000000E+01  3.000000000000E+01  1.722789640472E+01  1.009682196069E-14 -2.018876851655E-01  3.019420658094E+02  8.591833307098E-01  1.640071426553E+00 -8.527556690511E-01 -5.382501531347E-03 -3.447702767057E+00  7.697905243696E+00  1.976228557628E-01 -5.324384853825E-01  3.348156296218E-01 -7.306885378340E-01 -4.760020737109E-03  7.515626167519E-05 -2.418188940113E-05 -8.217891288742E-06  1.292273075839E+00 -7.515626156553E-05  9.331142659729E-03  3.133183536395E-19 -3.204586409858E-20  3.157710956735E-20 -4.248396287574E-02
  3.200000000000E+01  3.400000000000E+01  1.752756698286E+01  1.329088242819E-14 -2.000296062669E-01  3.123119849605E+02  8.831997183704E-01  1.631406228879E+00 -8.524650417781E-01 -5.533758224117E-03 -3.474272109763E+00  7.403538256265E+00  1.765801526758E-01 -4.939106074527E-01  3.173304547790E-01 -6.303405975523E-01 -3.063147822314E-03  7.061745401485E-05 -2.206371293562E-05 -6.278476899426E-06  1.142771875583E+00 -7.061745403485E-05  6.456958508266E-03  2.869282653629E-19 -4.095708960518E-20  3.771341553031E-20 -3.727872422243E-02
