                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  1.034395646850E+01  2.313429395967E-15 -1.265849755301E-01  1.093576821573E+02  5.109815085322E-02  7.110044335820E-01 -1.522977652462E-01 -1.823160191882E-03 -1.308401157778E+00  8.746464838429E-01 -1.461782117558E-03  5.972545011214E-03 -4.510762893719E-03 -4.638425362759E+00  3.553465802030E-02 -8.836025019600E-04 -8.205880356385E-05  3.006769737465E-05  4.424042530521E+01  8.836025020308E-04 -5.471616691157E-01  2.998772423058E-20 -5.137528240403E-22  5.888713581061E-21 -9.046004506682E-03
  4.000000000000E+00  6.000000000000E+00  1.177636777870E+01  6.267282338356E-15 -1.470253446222E-01  1.410339488214E+02  2.039773513789E-01  6.803778531857E-01 -2.954384578421E-01 -8.363433816751E-04 -1.740758427722E+00  5.390092859964E+00  2.053261709799E-01 -2.317798329461E-01  2.645366196359E-02 -1.021087022152E+00 -7.388524061447E-02  2.320920388523E-04 -1.298965650639E-04  1.225657786446E-05  3.790010808799E+00 -2.320920388047E-04 -3.785865737191E-02  5.365839637815E-20  1.194799239147E-21  3.203988079112E-20 -7.322216750985E-02
  8.000000000000E+00  1.000000000000E+01  1.223867731851E+01  8.907750116231E-15 -1.455075518695E-01  1.517752627203E+02  2.462936305613E-01  6.258965315960E-01 -2.868571178692E-01 -1.225548385604E-03 -1.790991739612E+00  5.611314110448E+00  1.174956458942E-01 -3.021937496178E-01  1.846981037227E-01 -5.874143099590E-01 -1.209563084785E-02  1.974041824662E-04 -7.336358091292E-05 -8.228209683606E-07  1.794951923290E+00 -1.974041824263E-04  7.468873486183E-03  3.912367085659E-20  5.938134862255E-22  5.308461257193E-20 -3.557081744679E-02
  1.200000000000E+01  1.400000000000E+01  1.267384637621E+01  1.014490582108E-14 -1.433400849780E-01  1.625741596388E+02  2.691184047488E-01  6.104441387151E-01 -3.082790194458E-01 -7.969884298611E-04 -1.827819330235E+00  5.522547277738E+00  1.120365389326E-01 -2.785172796955E-01  1.664807407634E-01 -5.575572576164E-01  2.710686483579E-03  1.306223252562E-04 -4.025808113452E-05 -1.911575903919E-06  1.490024040181E+00 -1.306223251635E-04  1.134818134850E-02  3.267850086311E-20 -3.610369891611E-21  3.518013840016E-20 -3.032412498579E-02
  1.600000000000E+01  1.800000000000E+01  1.298377765652E+01  9.659244252248E-15 -1.398209867743E-01  1.704368541024E+02  2.875290482887E-01  5.979444545253E-01 -3.069944870658E-01 -8.837999430309E-04 -1.826130558812E+00  5.193664134376E+00  9.286480566742E-02 -2.472689906387E-01  1.544041849725E-01 -4.033402572780E-01  1.472756528644E-03  8.313999181715E-05 -2.505514923948E-05  3.404542282480E-06  1.165198781049E+00 -8.313999183565E-05  1.194519789866E-02  3.814890545476E-20 -8.316912438078E-22  8.668200227063E-20 -2.338718643024E-02
  2.000000000000E+01  2.200000000000E+01  1.325648337939E+01  8.030981840194E-15 -1.373200796090E-01  1.775528423441E+02  3.030274269776E-01  5.918062678375E-01 -3.130049267752E-01 -8.018961565815E-04 -1.830545175377E+00  4.973217463196E+00  8.280767267170E-02 -2.246176761341E-01  1.418100034612E-01 -3.501618602659E-01  4.449313697262E-04  5.479094505331E-05 -1.759125457969E-05 -1.424601339163E-06  9.926399186389E-01 -5.479094494907E-05  8.956477904148E-03  3.351342527516E-20 -7.735877331667E-21  9.593166692435E-20 -1.992245508898E-02
  2.400000000000E+01  2.600000000000E+01  1.348007896039E+01  6.020463207829E-15 -1.353532064759E-01  1.834873820194E+02  3.159314117464E-01  5.859391523396E-01 -3.128564438148E-01 -8.428345855165E-04 -1.833752231970E+00  4.744349234872E+00  7.208478109257E-02 -2.049245871486E-01  1.328398060565E-01 -2.871812821451E-01  8.001345652436E-05  5.496327422034E-05 -1.173619419183E-05 -1.469881197893E-07  8.450361048862E-01 -5.496327426971E-05  5.811232697072E-03  3.207851147654E-20  1.986092806290E-21  9.517725865135E-20 -1.681893249074E-02
  2.800000000000E+01  3.000000000000E+01  1.367904300601E+01  3.780244708119E-15 -1.344226783590E-01  1.888637331939E+02  3.265246511131E-01  5.818470276237E-01 -3.147027001156E-01 -8.293855488085E-04 -1.847195285554E+00  4.564582488960E+00  6.474962390994E-02 -1.896905012333E-01  1.249408773248E-01 -2.525887086648E-01  4.890991422705E-04  4.487177764289E-05 -8.005402711969E-06  4.973193818781E-06  7.438709876150E-01 -4.487177760922E-05  2.807319059146E-03  2.053186965134E-20 -4.513032472146E-21  1.032516612581E-19 -1.474734460180E-02
  3.200000000000E+01  3.400000000000E+01  1.385207115091E+01  1.393454000913E-15 -1.339418351628E-01  1.935995821275E+02  3.352184568461E-01  5.777390302188E-01 -3.143050939764E-01 -7.963489915700E-04 -1.863017375355E+00  4.395377362474E+00  5.811487889313E-02 -1.765466930586E-01  1.184318141635E-01 -2.196660403107E-01  3.557399710987E-04  2.702522026598E-05 -6.999024779163E-06  1.000257372528E-05  6.590985492837E-01 -2.702522034598E-05  1.674431859616E-03  1.428691523038E-20 -8.425956390275E-22  1.124684583725E-19 -1.300625311991E-02
