                   y                  ym                   U                   V                   W                 U^2                 V^2                 W^2                  UV                  VW                  UW                VISC               SFSxx               SFSyy               SFSzz               SFSxy               SFSyz                dUdX                dVdX                dWdX                dUdY                dVdY                dWdY                dUdZ                dVdZ                dWdZ              SFSxym
 -4.000000000000E+00 -2.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00  0.000000000000E+00
  2.220446049250E-16  2.000000000000E+00  8.297559048055E+00 -2.526203349516E-16 -7.963759428799E-02  7.167097912290E+01  6.429191040990E-02  8.500896062670E-01 -1.941353137440E-01 -2.154056526290E-03 -6.676006385061E-01  1.528200464775E+00 -2.931571820590E-03  1.367127388503E-02 -1.073970206503E-02 -6.589683546310E+00  4.948500304738E-02 -1.548034845496E-03 -1.466738619561E-04  3.649286074978E-06  3.730555921727E+01  1.548034845502E-03 -3.146298354425E-01 -1.954885891994E-20  9.823731307933E-22 -1.301699933091E-20 -2.325235172412E-02
  4.000000000000E+00  6.000000000000E+00  1.035534079403E+01 -5.060382090212E-16 -7.774145528277E-02  1.108150166293E+02  2.585122454505E-01  9.096095716476E-01 -4.215082779047E-01 -3.085745821722E-03 -8.076424277498E-01  6.500734292142E+00  3.893747246194E-01 -3.360179851815E-01 -5.335673943951E-02 -1.948749853813E+00 -9.056825203207E-02  3.436217862879E-04 -2.286629524929E-04  4.272953734444E-06  5.339351578777E+00 -3.436217862988E-04  1.576364116723E-02 -4.353246542433E-20  2.694071487199E-21 -6.864574965171E-21 -1.284444792584E-01
  8.000000000000E+00  1.000000000000E+01  1.096673369260E+01 -4.064413736127E-16 -7.170390231595E-02  1.233111550949E+02  3.282774411648E-01  8.598269866003E-01 -4.043213483465E-01 -3.065231690011E-03 -7.881238124721E-01  6.858290529841E+00  1.899498356660E-01 -4.416787668611E-01  2.517289312034E-01 -9.438179005543E-01 -3.761042896158E-02  3.387257595624E-04 -1.243188072742E-04 -1.928326196987E-06  2.379921186510E+00 -3.387257595515E-04  2.456825451178E-02 -3.455628501743E-20 -1.177606247799E-20  2.545796226367E-20 -5.727600279180E-02
  1.200000000000E+01  1.400000000000E+01  1.154559802963E+01 -3.275358861447E-16 -6.538787587542E-02  1.363384665532E+02  3.685268582529E-01  8.444836206754E-01 -4.411289371999E-01 -2.994549045624E-03 -7.565990800407E-01  6.772800500346E+00  1.813178774853E-01 -4.072545577178E-01  2.259366802302E-01 -9.089244131251E-01 -7.477744373411E-03  1.912161730135E-04 -6.831883619826E-05  1.500574480692E-05  1.965264848482E+00 -1.912161730313E-04  2.374921590029E-02 -6.832340773286E-20 -2.067411639710E-21  2.302572487365E-20 -4.895334341961E-02
  1.600000000000E+01  1.800000000000E+01  1.194951162376E+01  1.859876546754E-18 -5.972911386924E-02  1.457094624045E+02  3.994374820384E-01  8.340066372972E-01 -4.397988582865E-01 -3.026054865226E-03 -7.170042011025E-01  6.389462215120E+00  1.494516909439E-01 -3.664414687806E-01  2.169897778398E-01 -6.425196539217E-01 -5.301775576387E-03  1.822940785463E-04 -4.202514052889E-05 -3.051193277542E-06  1.512148668817E+00 -1.822940785310E-04  2.136124007841E-02  2.210818836618E-20 -1.132377634986E-20  5.534314726929E-20 -3.704932070741E-02
  2.000000000000E+01  2.200000000000E+01  1.230169239155E+01  7.611086059722E-16 -5.473121631873E-02  1.542131185108E+02  4.246644488160E-01  8.313683434007E-01 -4.502471326130E-01 -3.012026017432E-03 -6.776785735149E-01  6.139851866899E+00  1.340708023140E-01 -3.358630801276E-01  2.017922778114E-01 -5.524298592813E-01 -6.530263622557E-03  1.074661070620E-04 -2.670426482568E-05 -1.953887412643E-05  1.275030219610E+00 -1.074661070852E-04  1.916395324282E-02 -4.885247468055E-21 -3.659973488399E-21  4.191274071691E-20 -3.124929573794E-02
  2.400000000000E+01  2.600000000000E+01  1.258702267213E+01  1.438697063428E-15 -5.017239720962E-02  1.612675849971E+02  4.453552269665E-01  8.273564500651E-01 -4.506640886583E-01 -3.059122005658E-03 -6.369328260335E-01  5.864225315040E+00  1.167567360979E-01 -3.076931407958E-01  1.909364047009E-01 -4.477840752723E-01 -5.854565528624E-03  5.554622128992E-05 -1.759658241505E-05 -3.746316886270E-06  1.076158035288E+00 -5.554622126896E-05  1.728787396386E-02  3.574500777937E-21 -4.273569849423E-21  1.022439514940E-19 -2.611689005173E-02
  2.800000000000E+01  3.000000000000E+01  1.283978256726E+01  2.163739312143E-15 -4.617836612290E-02  1.676731297424E+02  4.621473662107E-01  8.241799614336E-01 -4.541187149813E-01 -3.023647144516E-03 -5.993654435630E-01  5.644573951608E+00  1.046489455165E-01 -2.849205717205E-01  1.802716262038E-01 -3.912026840633E-01 -5.752155696724E-03  4.076675612646E-05 -1.272584156440E-05  1.254252663535E-05  9.445548574291E-01 -4.076675613614E-05  1.647395531773E-02 -2.167059895107E-20  1.697306988192E-20  7.571688821449E-20 -2.277916458653E-02
  3.200000000000E+01  3.400000000000E+01  1.305924155091E+01  3.176854323587E-15 -4.193753259965E-02  1.733343260428E+02  4.755422533775E-01  8.190830142612E-01 -4.542304192326E-01 -3.000423229336E-03 -5.542063393177E-01  5.435238675266E+00  9.411926999641E-02 -2.649122849362E-01  1.707930149397E-01 -3.385765290548E-01 -5.869075402797E-03  4.125347931564E-05 -8.113756035420E-06 -1.206009805111E-05  8.366219169639E-01 -4.125347928966E-05  1.727202100642E-02 -2.563331983872E-20 -1.154564525294E-20  9.508895350585E-20 -2.004022859799E-02
